"id","name","address","city_state_zip","fax","phone"
"107","HIGHLAND AUTO PARTS","625 MCGRATH HIGHWAY","PO BOX 9120","SOMERVILLE, MA  0214","617/666-1733"
"110","IDCP","15 CAMBRIDGE ST","BURLINGTON, MA  01803","FAX 781-229-6659","781-272-0004"
"120","INTERCO PARTS WAREHOUSE",,,,""
"123","--INVENTORY ADJUSTING--","USED TO CREATE A PAPER TRAIL","OF DAILY INVENTORY ADJUSTMENT",,""
"124","GOODYEAR AUTO SERVICE CENTER","1 BOW ST","SOMERVILLE, MA 02143",,"617 628 780"
"125","BAVARIAN AUTOSPORT","275 CONSTITUTION AVE","PORTSMOUTH, NH 03801",,"18005352002"
"126","LOWELL USED AUTO PARTS","108 TANNER ST","LOWELL,MA 01852",,"800 540 2778"
"127","NORTHWEST IMPORT PARTS","10042 SW BALMER","PORTLAND, OR 97219","FAX: 503 245 4193",""
"128","DAEWOO PARTS",,,,"978/345-2665"
"129","RT 128 USED AUTO PARTS","40 GREE ST","WALTHAM, MA 02154",,"800-698-4050"
"130","LAPPEN'S DISCOUNT AUTO PARTS","196 SOMERVILLE AVE","SOMERVILLE, MA 02143",,"617 623-0803"
"132","IRA DODGE","104 MYSTIC AVE","MEDFORD, MA  02155",,"781-393-4242"
"133","IRA MAZDA ISUZU","97 ANDOVER ST, RT 114","DAVERS, MA  01923",,"978-739-8654"
"134","SAFELITE AUTOGLASS",,,,"888 800 4527 ("
"136","MIDWAY MOTORS INC","510 COCHITUATE RD","FRAMINGHAM, MA01701","MAIN:508-879-5555","PARTS: 508-879"
"139","LEXUS OF WATERTOWN","118 N.BEACON ST","WATERTOWN, MA  02472",,""
"140","JOBBER'S WAREHOUSE SERVICE","69 INNERBELT ROAD","SOMERVILLE MA 02143",,"617/666-0940"
"141","MAWDI","59 INNERBELT RD","SOMERVILLE, MA 02143","FAX:781-986-9915","781-986-8200"
"142","MSB TOOL INC","59 DAVIS AVE","NORWOOD, MA  02062","FAX 888-672-8665","800-367-4005"
"143","NEW ENGLAND ENGINE","56 ROLAND STREET","CHARLESTOWN, MA  02129",,"628-1880"
"144","NAPA AUTO PARTS","625 MCGRATH HIGHWAY","SOMERVILLE, MA.02145",,"617-666-1733"
"145","NISSENBAUM'S AUTO PARTS","480 COLUMBIA STREET","SOMERVILLE, MA  02143",,"776-0194"
"146","NJA BRAKE PARTS","PO BOX 99","SOMERDALE, NJ 08083","FAX 856-228-6978","865-483-6175"
"148","NORTHEAST BATTERY","240 WASHINGTON STREET","AUBURN, MA  01501","ERIC X116","800/441-8824"
"149","NORTH SHORE BUICK/PONTIAC/GMC","700 BROADWAY","MALDEN, MA  02148",,"781-324-3570"
"150","0",,,,""
"152","TIRE RACK - TIRERACK.COM","RON 1,392","NOAH 1,311","FAX:574.236.7704","888-445-0179 A"
"154","POST OAK MOTOR COMPANY","1530 WEST LOOP SOUTH","HOUSTON, TX 77027",,""
"155","SOPUS PRODUCTS COMPANY","15 CHATFIELD CIRCLE","WESTFORD, MA  01886","WWW.SOPUS.COM","800-332-6457"
"156","THE HOME DEPOT","75 MYSTIC AVE","SOMERVILLE, MA 02145",,"617-623-0001"
"157","RAMAC INDUSTRIES, INC","2527 AVIATION WAY","MINDEN, NV  89723","FAX 775-267-2226 - A","877-745-6526,8""
158,RADIATOR "
"163","SOMERVILLE AUTO PARTS","270 CEDAR ST.","SOMERVILLE, MA 02145",,"(617) 625-2005"
"165","SUPERIOR AUTOMOTIVE WAREHOUSE","22 PRATT STREET","BOSTON, MA  02134-1895","FAX:617-787-0050","617/783-9100"
"167","TOPLINE AUTOMOTIVE ENGINEERIN","67 TOSCA DR","STOUGHTON, MA 02072",,"781-297-3842"
"169","VENG","65 VINEYARD ROAD","SEEKONK, MA  02771",,"800/522-8364"
"179","WELLESLEY TOYOTA","216 WORCESTER ST. ROUTE 9","WELLSELEY, MA 02181",,"800.734.0006"
"180","WORLDPAC","ACCT: 40437","ATTN:  DICK LACINA","FAX: 510 742 9262","800-888-9982 X"
"185","WURTH","ROBERT BRUCE","ACCT: 10531",,"800-987-8487 X"
"190","YANKEE (FOX WAREHOUSE)","250 CANAL STREET","LAWRENCE, MA  01840","FAX: 978 794 0018","800/892-0287 X"
"200","UNIVERSAL BRAKE PARTS","3350 NORTH KEDZIE AVENUE","CHICAGO, IL 60618",,"800/301-2725"
"201","AUTOLOGUE","8452 COMMONWEALTH AVE","BUENA PARK, CA 90621","FAX 714-522-3565","800 722 1113"
"202","PARTS GENIE PRICE UPDATE",,"JIM",,"800 849 4448"
"215","CONCORD CHEMICHAL","18001 KELLOGG RD","SAUTIOR, MS 319574","LOUIE","800.256.6033"
"230","FOREIGN MOTORS WEST","270 ELIOT ST","ASHLAND, MA 01721",,""
"231","REFRON INC","38-18 33RD ST","LIC, NY 11101","800 473 3766","800 573 3766 A"
"250","HERB CHAMBERS SAAB","1172 COMMONWEALTH AVE","BOSTON, MA  02134",,"617-975-3900"
"251","ACURA OF BOSTON","1600 SOLDIERS FIELD RD","BRIGHTON, MA  02135",,"617-254-9300"
"252","TOYOTA OF WATERTOWN","149 ARSENAL ST","WATERTOWN, MA  02472",,"617-924-4563"
"253","HERB CHAMBERS BMW","1168 COMMONWEALTH AVE","BOSTON, MA  02134",,"617-731-1700"
"254","BMW OF PEABODY","221 ANDOVER ST","PEABODY, MA  01960",,"978-538-9900"
"256","SATURN OF MEDFORD","60 MYSTIC AVE","P.O. BOX 350","MEDFORD, MA  02155","781-395-6800"
"260","BURLINGTON DODGE","90 MIDDLESEX TURNPIKE","BURLINGTON, MA  01803",,"781-272-0332"
"261","JOSEPH TALEWSKY & SON (VENDOR","517 COLUMBIA ST","SOMERVILLE, MA  02143",,"617-628-4691"
"265","LANNAN CHEVROLET","40 WINN ST","PO BOX 276","WOBURN, MA  01801","800-787-8739"
"267","EMPIRE AUTO PARTS","99 WASHINGTON ST","FOBORO, MA  02035",,"888-366-5155"
"270","STONEHAM MOTOR CO.","185 MAIN ST","STONEHAM, MA  02180",,"781-438-9816"
"271","MIRAK","1125 REAR MASSACHUSETTS AVE","ARLINGTON, MA  02476",,"781-646-7000"
"272","STRANDBERG'S AUTO INC","PO BOX 430","CENTURIA, WI  54824",,"800-448-5121"
"273","CAMBRIDGE HONDA/CHEVROLET","275 FRESH POND PARKWAY","CAMBRIDGE, MA  02138","FAX:617-868-1979","617-864-5900"
"274","SENTRY FORD","4100 MYSTIC VALLEY PARKWAY","MEDFORD, MA  02155",,"781-391-4350"
"275","MOTOR SPORT SERVICE","1400 E.SECOND ST","JAMESTOWN, NY  14701","FAX 716-665-4202","716-665-4200"
"276","UNITED AUTOMOTIVE CO","318-322 LINCOLN ST","PO BOX 516","ALLSTON, MA  02134","617-254-3395"
"277","INFINITI OF NORWOOD","363 NEPONSET ST","CANTON, MA  02021",,"888-340-4442"
"278","SH SALES CO, INC","7730 GLORIA AVE","VAN NUYS, CA  91406","FAX 818-786-8826","800-423-2971"
"279","ACE INDUSTRIAL SUPPLY","8969 BRADLEY AVE","SUN VALLEY, CA  91352",,"800-223-3129"
"280","PETER FULLER ENTERPRISES, INC","43-49 NORTH BEACON ST","WATERTOWN, MA  02472",,"617-924-8100"
"281","KEYSTONE AUTOMOTIVE OPERATION","904 BOSTON TURNPIKE","SHREWSBURY, MA  01545",,"570-655-4555"
"282","DAVIDSON CHEVROLET","530-576 EASTERN AVE","MALDEN, MA  02148",,"781-321-1450"
"283","ERIKSSON INDUSTRIES","146B ELM ST","OLD SAYBROOK, CT  06475",,"800-388-4418"
"284","L.E.&A., INC","137 MYSTIC AVE","MEDFORD, MA  02155","FAX 781-393-0368","781-393-0368"
"285","AAT AXLES",,"WATERTOWN, MA","FAX 617-926-7181","617-926-7171"
"286","AUTOMOTIVE COMPUTER SUPPLY","2280 E.MAIN ST SUITE B-7","LEAGUE CITY, TX  77573",,"888-326-8646"
"287","STUART","118 PROSPECT ST","SOMERVILLE, MA  02143","FAX 617-666-9630","617-666-9500"
"288","LKQ RT 16 AUTO PARTS","4 OLD DOUGLAS RD",,,"800-423-4006"
"289","GREENLEAF","1525 CENTRAL ST","LEOMINSTER, MA  01453","FAX 978-537-9389","800-343-6122"
"290","BERNARDI","960 WORCESTER RD","NATICK, MA  01760","FAX 508-651-1220","508-651-3033"
"291","MAXIMILLIAN IMPORTING COMPANY","PARKTON MILL","206 DAIRY RD","PARKTON, MD  21120","800-950-2002"
"292","MURRAY SUPPLY CORP","215 MYSTIC AVE","MEDFORD, MA  02155","781-396-0860","781-396-0814"
"293","E.T. COTE & SON AUTO EXCHANGE","37 NINTH ST","LEOMINSTER, MA  01453",,"800-540-9620"
"294","SWEDISH CAR PARTS","6948 N WESTERN AVE","CHICAGO, IL  60645","FAX 773-381-2616","877-902-2600 -"
"295","GRAVA CHRYSLER/JEEP","29 MYSTIC AVE","MEDFORD, MA  02155","FAX 781-393-8893","781-391-8950"
"296","DALLAS EUROPEAN SHORELINE IMP","1505 WALLACE DR, SUITE 136","CARROLLTON, TX  75006","FAX 909-471-5607","800-922-9300"
"297","COLONIAL CHRYSLER/JEEP","778-790 PLEASANT ST","BELMONT, MA  02478",,"617-484-7500"
"298","BOCH MITSUBISHI","RT 1","866 PROVIDENCE HIGHWAY","NORWOOD, MA  02062","781-769-1220"
"299","BEST CHEVY/ISUZU/SUZUKI","128 DERBY ST","HINGHAM, MA  02043",,"781-749-1950"
"300","FROST NISSAN","1180 WASHINGTON ST","W.NEWTON, MA  02465","FAX 617-630-3072","617-630-3070"
"301","LAND ROVER PEABODY","247 NEWBURY ST","PEABODY, MA  01960","FAX 978-535-8010","978-535-9200"
"302","SILENT, INC -EXHAUST","100 COMMERCE RD","CARLSTADT, JA  07072","FAX 201-531-0500","888 631 0300"
"303","WOBURN FOREIGN MOTORS","394 WASHINGTON ST","WOBURN, MA  01801","FAX 781-933-7217","781-933-7433"
"304","RIVERSIDE TRANSMISSION CO","224 NEWTON ST","WALTHAM, MA  02453",,"781-894-9395"
"305","MERCEDES BENZ OF WESTWOOD","425 PROVIDENCE HWY","WESTWOOD, MA  02090",,"781-688-1000"
"306","HOLLAND USED AUTO PARTS, INC","1 WINNING RD","N.BILLERICA, MA  01862",,"800-654-8202"
"307","HERB CHAMBERS HONDA INFINITI","1186 COMMONWEALTH AVENUE","BOSTON, MA, 02134",,"6177310100"
"308","POWERTRAIN INDUSTRIES, INC","7532 ANTHONY AVE","GARDEN GROVE, CA  92841",,"714-893-4585"
"321","NEW DIMENSION","2240 DELACRUZ BLVD","SANTA CLARA, CA 95050",,"800 637 2781"
"325","ALL FOREIGN AUTO PARTS INC","6375 AVRR","PITTSBURGH. PA 15201",,"412 782 5580"
"389","RODGERS RADIATOR, INC.","389 RIVERSIDE EVE","MEDFORD, MA 02155",,"800 527 6437"
"400","STRANDBERG'S AUTO INC","PO BOX 430,615 POLK,","CENTURIA, WI, 54824",,"18004485121"
"401","BARBER'S AUTO SALES INC.","29290 MANGUM ROAD","ARDMORE, AL, 35739",,""
"402","AZ COMMERCIAL","160 WASHINGTON ST","SOMERVILLE, MA, 02143",,""
"403","HERB CHAMBERS TOYOTA","32 BRIGHTON AVENUE","BOSTON, MA,02134",,""
"404","R.H.SCALES CO.,INC.",,,,""
"405","128 OLDSMOBILE, MAZDA,ISUZU","618 NORTH AVENUE","WAKEFIELD, MA, 01880",,""
"406","WINDWARD PETROLEUM","SAME AS BAILEYS","FRAN MILLS - ACCT:15140","617.413.7768","1 800 654 6078"
"410","BARBER'S AUTO SALES INC","29290MANGUM ROAD","ARDMORE, AL, 35739",,"18006322091"
"411","MADISON HEIGHTS AUTO PARTS","239 THUNDERBIRD RIDGE RD","MADISON HEIGHTS","VA, 24572","1-888-528-8826"
"413","BURLINGTON AUTO PARTS","127 HAZEN ROAD PO BOX 1492","SHIRLEY, MA, 01464",,"800 222 7921"
"415","MYRA DISTRIBUTING, INC.","5 WEBSTER ST.","PEABODY, MA 01960","FAX:978-282-7854","978 283 4217"
"452","KELLY JEEP-CHRYSLER","353 BROADWAY","ROUTE 1 NORTH","LYNNFIELD, MA01940","800-245-8558"
"453","K & R AUTO SALVAGE","950 SMITHFIELD ROAD","NORTH PROVIDENCE","RI. 02904","401-353-9200"
"456","BOSTON VOLKSWAGEN","168 WESTERN AVENUE","ALLSTON, MA 02134-1037",,"6177836309"
"457","WELLESLEY VOLKSWAGEN","231 LINDEN ST.","WELLESLEY, MA.02482",,"781-235-5800"
"478","HELM INCOPORATED","14310 HAMILTON AV","HIGHLAND PARK, MI 48203","OWNER'S MANUALS","800 782 4356"
"500","A&H COMPANY, INC","P.O.BOX 126","12 OLD COLONY AVENUE","QUINCY, MA, 02170","1-877-338-2260"
